,Open,High,Low,Close,Adj Close,Volume,Date,stock_name
0,609.01001,617.27002,604.01001,612.219971,612.219971,370800.0,2021-07-07,ALGN
1,604.929993,620.530029,598.02002,616.789978,616.789978,410600.0,2021-07-08,ALGN
2,621.919983,638.47998,613.710022,627.190002,627.190002,610100.0,2021-07-09,ALGN
3,631.700012,644.890015,623.75,642.859985,642.859985,573800.0,2021-07-12,ALGN
4,642.859985,647.830017,636.450012,642.400024,642.400024,400300.0,2021-07-13,ALGN
5,647.5,653.859985,631.72998,635.090027,635.090027,488200.0,2021-07-14,ALGN
6,633.890015,638.27002,609.359985,621.700012,621.700012,701000.0,2021-07-15,ALGN
7,623.390015,628.349976,613.52002,616.119995,616.119995,472700.0,2021-07-16,ALGN
8,609.369995,609.369995,591.559998,595.559998,595.559998,679700.0,2021-07-19,ALGN
9,596.039978,620.369995,589.23999,615.710022,615.710022,663900.0,2021-07-20,ALGN
10,615.530029,621.469971,603.5,619.650024,619.650024,627300.0,2021-07-21,ALGN
11,623.390015,628.98999,615.919983,627.919983,627.919983,358800.0,2021-07-22,ALGN
12,624.900024,640.409973,624.900024,638.280029,638.280029,412200.0,2021-07-23,ALGN
13,636.01001,636.619995,623.559998,635.580017,635.580017,577900.0,2021-07-26,ALGN
14,632.73999,638.200012,617.669983,625.51001,625.51001,489700.0,2021-07-27,ALGN
15,624.140015,630.0,616.580017,621.869995,621.869995,547900.0,2021-07-28,ALGN
16,634.359985,682.590027,634.0,676.97998,676.97998,1576500.0,2021-07-29,ALGN
17,675.599976,697.869995,673.0,695.799988,695.799988,967500.0,2021-07-30,ALGN
18,700.0,713.700012,695.599976,700.0,700.0,871600.0,2021-08-02,ALGN
19,700.419983,706.070007,687.559998,701.340027,701.340027,706900.0,2021-08-03,ALGN
20,698.900024,712.97998,698.580017,708.01001,708.01001,520700.0,2021-08-04,ALGN
21,711.0,714.150024,694.119995,699.219971,699.219971,553200.0,2021-08-05,ALGN
22,696.73999,700.789978,684.0,693.669983,693.669983,656700.0,2021-08-06,ALGN
23,693.5,695.0,684.900024,686.559998,686.559998,331000.0,2021-08-09,ALGN
24,689.570007,691.809998,674.190002,687.380005,687.380005,513600.0,2021-08-10,ALGN
25,690.22998,692.119995,676.23999,687.780029,687.780029,416800.0,2021-08-11,ALGN
26,687.719971,705.840027,683.590027,704.27002,704.27002,480300.0,2021-08-12,ALGN
27,700.859985,704.849976,685.690002,691.190002,691.190002,398000.0,2021-08-13,ALGN
28,684.200012,690.840027,681.190002,690.75,690.75,310600.0,2021-08-16,ALGN
29,690.780029,690.780029,669.309998,680.890015,680.890015,610300.0,2021-08-17,ALGN
30,680.820007,690.960022,672.72998,675.26001,675.26001,475000.0,2021-08-18,ALGN
31,671.030029,685.530029,669.640015,679.859985,679.859985,359100.0,2021-08-19,ALGN
